id,video_date,score,name
3,2018,11,Selected Ambient Works 85–92
38,2018,11,Thriller
76,2018,11,Chocolate and Cheese
84,2018,10,Discovery
85,2018,10,You Won’t Get What You Want
92,2018,10,KIDS SEE GHOSTS
93,2018,10,The Miseducation of Lauryn Hill
114,2018,9,2012–2017
146,2018,9,Year of the Snitch
163,2018,9,Idol
165,2018,9,Joy as an Act of Resistance.
169,2018,9,Boarding House Reach
204,2018,9,Wide Awake!
207,2018,9,ION
268,2018,8,Oxnard
270,2018,8,You’re Not Alone
272,2018,8,Dead Magic
277,2018,8,Collapse EP
285,2018,8,Paraffin
328,2018,8,"Streams of Thought, Vol. 1"
332,2018,8,Negro Swan
357,2018,8,Twin Fantasy (Face to Face)
400,2018,8,The Light Is Leaving Us All
417,2018,8,Cubafonía
436,2018,8,TA13OO
449,2018,8,Some Rap Songs
476,2018,8,Endless
491,2018,8,Prequelle
509,2018,8,Twisted Crystal
516,2018,8,Orpheus vs. The Sirens
522,2018,8,Hate Music Last Time Delete EP
530,2018,8,"Bark Your Head Off, Dog"
542,2018,8,Clear Tamei
548,2018,8,Vile Luxury
556,2018,8,Dirty Computer
559,2018,8,Everything’s Fine
567,2018,8,DiCaprio 2
578,2018,8,Veteran
580,2018,8,Firepower
581,2018,8,Aviary
586,2018,8,Isolation
587,2018,8,ye
588,2018,8,The Life of Pablo
598,2018,8,Time ’n’ Place
643,2018,8,Time
670,2018,8,Little Dark Age
702,2018,8,"Musas: Un homenaje al folclore latinoamericano en manos de Los Macorinos, vol. 2"
718,2018,8,Room 25
751,2018,8,New Levels New Devils
769,2018,8,DAYTONA
788,2018,8,EL MAL QUERER
796,2018,8,All at Once
809,2018,8,The Sciences
822,2018,8,Your Queen Is a Reptile
823,2018,8,OIL OF EVERY PEARL’S UN‐INSIDES
888,2018,8,Virtue
912,2018,8,A Laughing Death in Meatspace
915,2018,8,Trench
926,2018,8,In a Poem Unlimited
981,2018,8,Stranger Fruit
987,2018,8,春と修羅
1043,2018,7,Sweetener
1059,2018,7,7
1061,2018,7,I Loved You at Your Darkest
1086,2018,7,"Streams of Thought, Vol. 2"
1105,2018,7,iridescence
1129,2018,7,Pop 2
