id,video_date,score,name
1,2014,11,The Low End Theory
22,2014,11,Repeater
31,2014,11,Unknown Pleasures
34,2014,11,Trans Europe Express
45,2014,11,Pastel Blues
103,2014,10,Purple Rain
106,2014,10,To Be Kind
118,2014,9,pom pom
125,2014,9,The Satanist
142,2014,9,CLPPNG
158,2014,9,Piñata
164,2014,9,Plowing Into the Field of Love
219,2014,9,Benji
241,2014,8,Fuck Off Get Free We Pour Light on Everything
246,2014,8,Ghettoville
275,2014,8,Connecticut Casual
288,2014,8,Labyrinth Constellation
310,2014,8,Eighteen Hours of Static
341,2014,8,VI: Flora
352,2014,8,Perfect Hair
358,2014,8,Boy
402,2014,8,Black Messiah
421,2014,8,Black Metal
443,2014,8,Lifer
462,2014,8,LP1
469,2014,8,You’re Dead!
480,2014,8,Full of Hell · Merzbow
498,2014,8,Broken Ankles
513,2014,8,The Unnatural World
541,2014,8,Prayer For Terrene
549,2014,8,From All Purity
622,2014,8,Trouble in Paradise
630,2014,8,Mess
672,2014,8,The Water[s]
692,2014,8,Murmur
706,2014,8,Mouth Sounds
707,2014,8,Mouth Silence
731,2014,8,Dark Comedy
737,2014,8,Roads to the North
742,2014,8,Biggie Apple
744,2014,8,Too Bright
778,2014,8,So It Goes
792,2014,8,Run the Jewels 2
832,2014,8,Lord Steppington
850,2014,8,Sacred White Noise
892,2014,8,Annabel Dream Reader
900,2014,8,Hot Dreams
903,2014,8,Ultima II Massage
913,2014,8,Nikki Nack
929,2014,8,New York Telephone
950,2014,8,Baby
951,2014,8,Totem
956,2014,8,Rhythm
959,2014,8,Celestite
966,2014,8,Nina
989,2014,7,Mandatory Fun
995,2014,7,Sea When Absent
997,2014,7,Ferg Forever
1017,2014,7,This Is All Yours
1025,2014,7,Try Not to Destroy Everything You Love
1030,2014,7,Faith in Strangers
1037,2014,7,ANTEMASQUE
1050,2014,7,III
1111,2014,7,Forceps
1151,2014,7,Clockwork Indigo EP
1167,2014,7,"Strange Journey, Volume Three"
1188,2014,7,La Isla Bonita
1219,2014,7,Waterfall
1246,2014,7,Singles
1247,2014,7,Welcome to Fazoland
1258,2014,7,A World Lit Only by Fire
1284,2014,7,I AM YOUR DESTRUCTION
1288,2014,7,Ibibio Sound Machine
1388,2014,7,Rooms of the House
1398,2014,7,The Beast of Left and Right
1449,2014,7,Once More ’Round the Sun
1453,2014,7,Esoteric Warfare
1457,2014,7,Past 21 Beyond the Arctic Cell
1479,2014,7,The Church
1481,2014,7,This Is My Hand
1494,2014,7,Spaces
